iso,year,crop,yield,area,production,yield_trend,yield_anom_pct,spei3_gs,spei6_gs,spei12_gs,spi6_gs,spei12_ann,gs_t,gs_p,gs_t_z,gs_p_z,ann_t,ann_p,t_max_gs_z,spei3_min_gs,oni_djf,oni_mam,oni_jja,price_usd_t,price_lcu_t,spei6_gs_lag1,yield_anom_lag1
ROU,2010,Potatoes,13296.0,246982.0,3283866.0,14829.187244217495,-10.338983647369801,0.4964953693349704,0.8320545415880454,1.248034291931817,1.5158474848026164,1.4228229095152654,19.515,396.42,0.5027076602077981,1.5608285970157043,10.129166666666666,830.64,0.3789448426453849,0.4964953693349704,1.5,0.35,-1.05,185.7,590.0,-1.1826116139817011,4.5129100930230805
ROU,2011,Potatoes,16415.4,248338.0,4076570.0,14925.516726437698,9.982121898153519,-0.7526913397183375,-1.135081109549335,-0.5404041725115168,-0.9117371121703162,-1.8980521556398529,19.0975,265.03000000000003,-0.009925227567707329,-0.5404231681756757,9.811666666666666,478.21000000000004,-0.3866981898094875,-1.097894212195811,-1.31,-0.62,-0.43,288.7,880.0,0.8320545415880454,-10.338983647369801
ROU,2012,Potatoes,10762.3,229055.0,2465150.0,15014.871839423715,-28.32239851863386,-2.2711761275917843,-1.7028580907692037,-1.932987733230797,-0.8050399851521628,-1.4684435484202436,20.605,260.74,1.8410785528432478,-0.6090309014329333,10.515833333333333,603.49,1.4353383937540074,-2.2711761275917843,-0.72,-0.36,0.3,262.4,910.0,-1.135081109549335,9.982121898153519
ROU,2013,Potatoes,15846.2,207603.0,3289722.0,15101.279410974677,4.932830979102083,-0.9558370191812057,-0.44633469756102057,-0.5516772622612536,0.2723143931029576,-0.34646228728172024,19.732499999999998,293.87,0.7697679071327588,-0.0792000849264227,10.638333333333334,661.53,0.3595614747351354,-0.9558370191812057,-0.29,-0.19,-0.35,255.4,850.0,-1.7028580907692037,-28.32239851863386
ROU,2014,Potatoes,17365.9,202657.0,3519329.0,15186.767753763208,14.348887673592131,0.33640902765382097,0.5552311238285206,0.22141757727232514,1.200330254522653,0.7513238197434777,18.795,370.82,-0.3813538468541491,1.1514211444782252,10.999166666666667,768.7,-0.42546492562998656,-1.0580317607005614,-0.28,0.15,0.1,226.9,760.0,-0.44633469756102057,4.932830979102083
ROU,2015,Potatoes,13769.8,196058.0,2699684.0,15272.299110574633,-9.838067600013769,-1.747360637023312,-1.4953175323973165,-0.8057878620785784,-0.9715120067164617,-1.066411405565734,19.9775,218.13,1.070594392174673,-1.2904704152072293,11.030000000000001,611.51,0.9313708280875089,-1.8200987260911021,0.69,0.81,1.57,184.7,740.0,0.5552311238285206,14.348887673592131
ROU,2016,Potatoes,14442.8,186233.0,2689733.0,15358.214812372758,-5.960424590723202,-0.2838898568808842,-0.03946337022423204,0.2116362179005319,0.7735387859140619,0.3106664247848191,19.2625,326.69,0.19267220113398817,0.4456730632095168,10.623333333333333,732.18,0.11726937585701093,-0.2838898568808842,2.63,1.05,-0.31,155.2,630.0,-1.4953175323973165,-9.838067600013769
ROU,2017,Potatoes,18187.2,171379.0,3116912.0,15444.788277347638,17.756227365541605,-1.0633192042018902,-0.8361017275623057,-0.5963022739809022,0.008018321613252681,-0.6665388806349615,19.8425,279.19,0.9048328596005601,-0.3139696709908833,10.603333333333333,649.41,0.9119874601772594,-1.0633192042018902,-0.19,0.31,0.19,160.4,650.0,-0.03946337022423204,-5.960424590723202
ROU,2018,Potatoes,17442.4,173300.0,3022760.0,15532.190531286386,12.298390654337481,-0.1498536649563304,-1.0478911493331982,-0.3983231779922479,0.06307778802000584,-0.9826414027980305,20.405,302.34,1.5955059119927075,0.05625620894046921,11.154166666666667,642.6700000000001,1.31903818629251,-1.61246839420616,-0.77,-0.39,0.14,172.5,680.0,-0.8361017275623057,17.756227365541605
ROU,2019,Potatoes,15086.1,174120.0,2626790.0,15620.223192216901,-3.4194338047809634,-1.812922256410369,-1.2536413958878867,-1.402174247825704,-0.38911608691734284,-1.9668890109473147,19.89,280.40999999999997,0.963156361802563,-0.29445884708089454,11.658333333333333,555.36,0.8829124083118833,-1.812922256410369,0.89,0.77,0.33,172.3,730.0,-1.0478911493331982,12.298390654337481
