iso,year,crop,yield,area,production,yield_trend,yield_anom_pct,spei3_gs,spei6_gs,spei12_gs,spi6_gs,spei12_ann,gs_t,gs_p,gs_t_z,gs_p_z,ann_t,ann_p,t_max_gs_z,spei3_min_gs,oni_djf,oni_mam,oni_jja,price_usd_t,price_lcu_t,spei6_gs_lag1,yield_anom_lag1
RUS,2010,Wheat,1918.1,21639828.0,41507581.0,2193.4312608514233,-12.552536556105624,-1.5940422647537833,-1.9257873345742733,-1.9227646362028006,0.1187103247441254,-1.02106236561997,12.325,231.84000000000003,1.2660352948232911,-0.13776818044275793,-4.470833333333332,477.5,1.1437943985035952,-1.841950885061877,1.5,0.35,-1.05,127.3,3867.0,-0.10459997832228995,8.177012197817689
RUS,2011,Wheat,2264.5,24835516.0,56239994.0,2250.5872183116526,0.6181845153632626,-1.3690095099186435,-1.712645078972323,-0.8208949792973004,0.24950065056043,-1.4184967871425185,12.1925,229.98000000000002,0.98895392954194,-0.33382695291677017,-3.375833333333333,467.01,0.8372498360905708,-1.9016456918184967,-1.31,-0.62,-0.43,173.8,5108.0,-1.9257873345742733,-12.552536556105624
RUS,2012,Wheat,1772.7,21277882.0,37719640.0,2311.2327349940465,-23.30067097268911,-1.575469250356595,-1.576699831150593,-1.5262365312922879,1.069060037416791,-1.2088877148296175,12.4525,234.13,1.532660759527993,0.10361600717309025,-3.9325000000000006,483.84,1.507816066369057,-2.324389643650049,-0.72,-0.36,0.3,207.8,6409.0,-1.712645078972323,0.6181845153632626
RUS,2013,Wheat,2228.8,23371410.0,52090797.0,2371.4518584580355,-6.015380744468934,-0.7861190257235096,-0.5830947686055786,-0.04179107404020897,1.8936862160688204,0.8276728445040674,12.1725,245.48,0.9471303272353176,1.299996151033317,-3.5933333333333337,505.0,0.14752457066126434,-1.2475174210445035,-0.29,-0.19,-0.35,210.9,6715.0,-1.576699831150593,-23.30067097268911
RUS,2014,Wheat,2497.6,23907772.0,59711381.9,2432.978418841265,2.656068819118901,-0.8018711451035491,-0.9598361499948554,0.7760802891649556,0.9233799664088699,-0.6827041286412365,11.945,238.7,0.4713868509975225,0.5853303029828902,-3.665833333333333,472.98,-0.8870633274826937,-0.8018711451035491,-0.28,0.15,0.1,178.5,6848.7,-0.5830947686055786,-6.015380744468934
RUS,2015,Wheat,2388.3,25870340.0,61785799.2,2501.128303356218,-4.511096180264551,-1.3222310764307168,-1.2672426695235548,-0.7880985644643232,0.6894513266276796,-0.38377878443936025,12.030000000000001,231.78,0.6491371608006572,-0.14409265697418086,-2.9583333333333335,485.91999999999996,-0.40808744871234354,-1.4820416369104725,0.69,0.81,1.57,143.9,8768.0,-0.9598361499948554,2.656068819118901
RUS,2016,Wheat,2685.4,27312777.0,73345679.0,2582.488128773756,3.984989130428629,-1.3604430345778287,-1.1022146643170128,-0.23866694554359003,1.5548189611670522,-1.2713095408497468,12.395,243.89,1.4124179028964599,1.1323975229506944,-3.2449999999999997,481.23,1.2012715039560327,-1.505621329021087,2.63,1.05,-0.31,131.8,8837.0,-1.2672426695235548,-4.511096180264551
RUS,2017,Wheat,3125.4,27517354.0,86002542.0,2673.603669969651,16.89840327139727,-0.5926750150911665,0.510359065083145,-0.16929253986119966,1.7951313282246573,1.3981405044670974,11.61,244.88,-0.22915848763835603,1.2367513857191204,-2.983333333333333,502.86,-0.5422006947680387,-0.5926750150911665,-0.19,0.31,0.19,125.2,7304.0,-1.1022146643170128,3.984989130428629
RUS,2018,Wheat,2725.0,26472051.0,72136149.0,2759.0291724377553,-1.2333748688742068,-1.9541652286663151,-1.3100362906494194,-0.13490782412413507,0.22626869381095627,-0.8676490260321773,11.9075,222.26,0.39296759667261166,-1.1475762666261082,-3.5050000000000003,477.74,-0.04406578084687501,-1.9541652286663151,-0.77,-0.39,0.14,136.2,8537.0,0.510359065083145,16.89840327139727
RUS,2019,Wheat,2701.6,27558617.0,74452692.0,2840.5475094418516,-4.8915749157511526,-1.5739482328616958,-1.4450270097379012,-0.8844461789501147,0.4896833940282019,-0.1945660858776879,12.09,233.5,0.774607967720513,0.03720900359318383,-2.943333333333333,489.97999999999996,-0.35061034325989937,-1.6878898330598784,0.89,0.77,0.33,158.8,10279.0,-1.3100362906494194,-1.2333748688742068
RUS,2020,Wheat,2975.9,28864312.0,85896325.7,2919.737076694642,1.9235609861466958,-1.6695704752063412,-1.4329441370103404,0.10457505522445858,1.2802001491429027,-1.2396672046799107,12.4375,239.1,1.5012930577980272,0.6274934798590223,-1.7691666666666663,486.85,0.8755679063921981,-1.6825332551977235,0.64,0.3,-0.36,169.8,12240.0,-1.4450270097379012,-4.8915749157511526
RUS,2021,Wheat,2724.4,27918333.0,76060948.4,2997.4793872711844,-9.110300755722212,-2.578789764068352,-2.2659070803287302,-2.1977327603592993,0.3606299743026371,-1.0428222650312409,12.817499999999999,225.06,2.295941501623796,-0.8524340284931875,-3.7608333333333337,488.6,1.3737028203133583,-2.578789764068352,-0.91,-0.55,-0.35,193.7,14265.0,-1.4329441370103404,1.9235609861466958
RUS,2022,Wheat,3550.8,29354766.0,104233944.0,3074.344209981651,15.497802375915242,-1.3437421648356216,-1.318463489447537,-0.08027755186297146,1.3972801891473903,0.08379732920532264,12.445,242.14999999999998,1.5169769086630103,0.948987703539522,-2.955833333333333,500.28,1.1437943985035952,-1.3437421648356216,-0.82,-0.95,-0.76,187.1,12813.0,-2.2659070803287302,-9.110300755722212
